block_number,priceEconomical,priceStandard,priceFast,numberOfTxs,scoreEconomicalPlus1,scoreStandardPlus1,scoreFastPlus1,scoreEconomicalPlus2,scoreStandardPlus2,scoreFastPlus2,scoreEconomicalPlus3,scoreStandardPlus3,scoreFastPlus3,scoreEconomicalPlus4,scoreStandardPlus4,scoreFastPlus4,scoreEconomicalPlus5,scoreStandardPlus5,scoreFastPlus5,scoreEconomicalPlus6,scoreStandardPlus6,scoreFastPlus6,scoreEconomicalPlus7,scoreStandardPlus7,scoreFastPlus7,scoreEconomicalPlus8,scoreStandardPlus8,scoreFastPlus8,scoreEconomicalPlus9,scoreStandardPlus9,scoreFastPlus9,scoreEconomicalPlus10,scoreStandardPlus10,scoreFastPlus10
557979,1.828,2.717,19.289,689,99.928,93.141,37.834,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.018,58.028,13.761,77.105,55.061,12.157,57.545,43.131,13.176,100.000,100.000,39.130,62.655,40.273,7.140,98.813,95.815,50.656
557985,1.443,2.577,19.295,3267,57.545,43.131,13.176,100.000,100.000,39.130,62.655,40.273,7.140,98.813,95.815,50.656,-1,-1,-1,0.000,0.000,0.000,65.238,48.532,16.803,55.352,43.603,15.666,62.525,44.247,16.963,-1,-1,-1
557987,1.443,2.578,19.296,408,62.655,40.273,7.140,98.813,95.815,50.656,-1,-1,-1,0.000,0.000,0.000,65.238,48.532,16.803,55.352,43.603,15.666,62.525,44.247,16.963,-1,-1,-1,-1,-1,-1,-1,-1,-1
557919,1.285,5.067,18.256,2623,-1,-1,-1,99.942,13.687,6.348,-1,-1,-1,-1,-1,-1,72.263,32.847,9.489,99.900,99.799,99.498,100.000,99.881,99.165,100.000,99.808,99.423,-1,-1,-1,-1,-1,-1
557921,1.285,3.015,18.256,2153,-1,-1,-1,-1,-1,-1,72.263,42.336,9.489,99.900,99.799,99.498,100.000,100.000,99.165,100.000,99.808,99.423,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557933,2.129,18.257,50.489,1358,99.672,58.210,18.062,100.000,56.175,17.829,100.000,52.900,13.697,98.216,51.605,15.815,99.763,96.685,21.389,99.601,65.136,17.099,-1,-1,-1,99.592,14.082,4.541,99.710,53.449,9.913,99.529,39.771,7.806
557946,5.075,18.256,27.108,2184,70.095,55.288,31.510,99.748,99.685,78.450,-1,-1,-1,-1,-1,-1,-1,-1,-1,37.197,28.896,15.583,99.483,99.053,66.150,-1,-1,-1,-1,-1,-1,-1,-1,-1
557974,1.830,3.479,19.284,210,100.000,98.333,55.794,98.438,87.779,31.250,-1,-1,-1,-1,-1,-1,63.426,35.880,17.824,99.928,91.913,37.834,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.018,33.486,13.761
557991,1.442,2.129,19.299,2,65.238,48.532,16.803,55.352,43.603,15.666,62.525,44.247,16.963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557992,1.442,2.129,19.301,3017,55.352,43.603,15.666,62.525,44.247,16.963,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
