block_number,priceStandard,numberOfTxs,scoreStandardPlus1,scoreStandardPlus2,scoreStandardPlus3,scoreStandardPlus4,scoreStandardPlus5,scoreStandardPlus6,scoreStandardPlus7,scoreStandardPlus8,scoreStandardPlus9,scoreStandardPlus10
557943,5.916,2369,-1,-1,16.395,70.095,99.748,96.961,-1,-1,37.197,99.483
557979,19.097,689,37.834,12.373,8.053,-1,13.761,12.157,13.176,39.130,7.140,50.656
557979,3.024,689,91.913,32.179,20.844,-1,33.486,31.220,24.324,100.000,21.821,94.753
557979,3.018,689,91.913,32.179,20.844,-1,33.486,31.220,24.324,100.000,21.821,94.753
557979,3.013,689,91.913,32.179,20.844,-1,33.486,31.220,24.324,100.000,21.821,94.753
557979,2.984,689,93.141,75.611,41.731,-1,58.028,55.061,43.131,100.000,40.273,95.815
557979,2.609,689,93.141,75.611,41.731,-1,58.028,55.061,43.131,100.000,40.273,95.815
557979,2.609,689,93.141,75.611,41.731,-1,58.028,55.061,43.131,100.000,40.273,95.815
557979,2.618,689,93.141,75.611,41.731,-1,58.028,55.061,43.131,100.000,40.273,95.815
557979,2.717,689,93.141,75.611,41.731,-1,58.028,55.061,43.131,100.000,40.273,95.815
557979,3.000,689,91.913,32.179,20.844,-1,33.486,31.220,24.324,100.000,21.821,94.753
557979,3.013,689,91.913,32.179,20.844,-1,33.486,31.220,24.324,100.000,21.821,94.753
557979,3.027,689,91.913,32.179,20.844,-1,33.486,31.220,24.324,100.000,21.821,94.753
557979,4.028,689,82.383,27.546,20.026,-1,32.798,29.518,23.986,100.000,20.257,93.941
557979,5.996,689,78.773,27.240,19.724,-1,31.881,29.139,23.649,95.652,19.775,93.067
557979,9.000,689,67.653,21.385,16.107,-1,25.688,23.699,20.833,70.807,15.443,80.575
557979,11.502,689,61.588,20.061,15.245,-1,22.477,21.476,18.919,65.839,14.240,77.327
557979,14.262,689,57.690,18.126,12.791,-1,19.725,18.165,18.581,59.627,12.435,73.766
557979,16.903,689,50.469,16.701,11.757,-1,18.578,16.887,16.892,54.037,11.312,67.270
557979,18.325,689,45.921,15.631,10.724,-1,17.202,15.563,15.878,51.553,9.828,61.774
557979,19.286,689,37.834,12.373,8.053,-1,13.761,12.157,13.176,39.130,7.140,50.656
557979,19.291,689,37.834,12.373,8.053,-1,13.761,12.157,13.176,39.130,7.140,50.656
557985,3.013,3267,24.324,100.000,21.821,94.753,-1,0.000,37.506,35.509,33.728,-1
557919,4.917,2623,-1,-1,-1,-1,33.577,99.799,99.881,99.808,-1,-1
557926,48.685,1002,54.808,-1,-1,-1,-1,-1,6.759,22.250,23.108,-1
557926,46.077,1002,58.846,-1,-1,-1,-1,-1,7.157,22.578,23.606,-1
557926,45.475,1002,61.731,-1,-1,-1,-1,-1,7.455,22.989,24.602,-1
557926,45.475,1002,61.731,-1,-1,-1,-1,-1,7.455,22.989,24.602,-1
557926,45.517,1002,61.731,-1,-1,-1,-1,-1,7.455,22.989,24.602,-1
557959,20.796,2227,32.000,51.709,81.069,77.145,-1,-1,2.533,44.467,49.852,-1
557962,8.000,3032,98.236,-1,-1,3.800,70.825,75.252,-1,-1,31.633,29.021
557962,7.537,3032,98.236,-1,-1,3.990,72.837,75.548,-1,-1,32.449,29.736
557962,8.000,3032,98.236,-1,-1,3.800,70.825,75.252,-1,-1,31.633,29.021
557962,8.000,3032,98.236,-1,-1,3.800,70.825,75.252,-1,-1,31.633,29.021
557962,8.855,3032,98.236,-1,-1,3.800,70.825,75.252,-1,-1,31.633,29.021
557962,10.629,3032,98.236,-1,-1,3.673,67.002,71.344,-1,-1,29.388,28.663
557962,14.651,3032,98.156,-1,-1,3.357,63.179,69.153,-1,-1,27.755,26.233
557962,19.250,3032,82.117,-1,-1,2.597,48.826,56.187,-1,-1,21.837,16.440
557962,19.250,3032,82.117,-1,-1,2.597,48.826,56.187,-1,-1,21.837,16.440
557962,19.251,3032,82.117,-1,-1,2.597,48.826,56.187,-1,-1,21.837,16.440
557962,19.254,3032,82.117,-1,-1,2.597,48.826,56.187,-1,-1,21.837,16.440
557962,19.255,3032,82.117,-1,-1,2.597,48.826,56.187,-1,-1,21.837,16.440
557962,19.257,3032,82.117,-1,-1,2.597,48.826,56.187,-1,-1,21.837,16.440
557962,19.324,3032,82.117,-1,-1,2.597,48.826,56.187,-1,-1,21.837,16.440
