block_number,priceStandard,numberOfTxs,scoreStandardPlus1,scoreStandardPlus2,scoreStandardPlus3,scoreStandardPlus4,scoreStandardPlus5,scoreStandardPlus6,scoreStandardPlus7,scoreStandardPlus8,scoreStandardPlus9,scoreStandardPlus10
557952,4,2015,99.483,-1,-1,1.811,98.598,-1,-1,47.647,79.755,99.542
557964,5,2938,-1,4.433,73.977,83.955,-1,-1,-1,31.808,-1,2.591
557967,22,2967,41.208,-1,-1,-1,11.937,-1,1.554,39.603,23.103,-1
557989,24,3445,-1,-1,-1,13.316,13.149,-1,-1,-1,-1,-1
557913,3,2943,-1,36.752,48.858,72.521,98.622,99.017,-1,-1,-1,-1
557926,59,1002,26.538,-1,-1,-1,-1,-1,-1,13.875,13.247,-1
557994,3,2161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
557961,24,3171,58.321,53.328,4.352,-1,2.280,31.992,34.813,-1,-1,-1
557987,19,408,7.140,50.656,-1,-1,-1,15.666,16.963,-1,-1,-1
557968,23,3409,-1,-1,-1,11.222,-1,1.554,37.857,21.038,-1,-1
557980,19,3083,12.373,-1,-1,13.761,12.157,13.176,39.130,7.140,50.656,-1
557988,3,3399,94.753,-1,-1,-1,35.509,33.728,-1,-1,-1,-1
557947,27,2441,78.450,21.462,12.430,-1,15.583,66.150,-1,-1,0.317,38.403
557962,29,3032,29.431,1.703,-1,1.013,17.639,19.479,-1,-1,-1,7.362
557949,24,3160,19.335,-1,22.240,97.416,-1,-1,0.362,49.838,-1,-1
557950,10,2918,-1,31.793,99.311,-1,-1,0.498,89.968,-1,-1,41.294
557963,27,2965,2.223,-1,1.330,21.797,23.623,-1,-1,-1,8.863,-1
557981,3,2921,-1,-1,33.486,31.220,24.324,100.000,21.821,94.753,-1,-1
557935,32,1697,-1,35.077,55.959,40.319,-1,9.031,-1,-1,-1,-1
557948,36,2754,11.301,6.240,-1,7.283,39.276,-1,-1,0.226,22.114,-1
557938,40,2633,30.273,-1,7.041,-1,-1,-1,-1,-1,11.670,29.301
557956,3,2510,99.029,-1,-1,50.235,86.718,99.542,99.038,82.545,-1,5.003
557972,3,2104,-1,2.591,98.333,87.779,-1,-1,35.880,91.913,32.179,-1
557975,22,2877,23.103,-1,-1,13.194,29.458,9.521,-1,-1,11.239,9.886
557979,3,689,91.913,32.179,-1,-1,33.486,31.220,24.324,100.000,21.821,94.753
557912,3,2362,36.876,-1,36.752,48.858,72.521,98.622,99.017,-1,-1,-1
557915,3,159,48.858,72.521,98.622,99.017,-1,-1,-1,-1,42.336,99.799
557919,21,2623,-1,-1,-1,-1,6.569,99.498,98.687,99.038,-1,-1
557924,4,220,99.799,99.881,99.808,-1,-1,-1,-1,-1,-1,96.716
557927,53,1028,-1,-1,-1,-1,-1,-1,15.107,14.442,-1,11.058
557941,8,2601,-1,-1,-1,-1,-1,63.384,99.748,94.777,47.110,-1
557957,27,2018,-1,-1,14.706,26.177,45.038,37.771,2.223,-1,1.330,21.797
557966,2,1908,96.311,96.270,-1,-1,-1,50.751,-1,2.591,99.524,91.350
557916,8,2825,53.856,76.723,94.705,-1,-1,-1,-1,29.927,99.699,99.881
557917,15,2531,52.833,75.794,-1,-1,-1,-1,19.708,99.598,99.165,99.615
557993,3,677,33.728,-1,-1,-1,-1,-1,-1,-1,-1,-1
557974,1,210,100.000,98.438,-1,-1,63.426,99.928,100.000,-1,-1,72.018
557976,17,3325,-1,-1,21.991,48.087,16.191,-1,-1,17.661,16.131,16.667
557953,35,2874,-1,-1,0.226,23.732,-1,-1,10.118,17.537,24.504,21.010
557960,15,1320,64.152,99.466,98.156,11.826,-1,3.357,62.710,69.094,-1,-1
557986,3,1325,100.000,21.821,94.753,-1,-1,-1,35.509,33.728,-1,-1
557937,31,1430,62.589,45.043,-1,9.592,-1,-1,-1,-1,-1,25.821
557939,33,2903,-1,9.031,-1,-1,-1,-1,-1,20.861,52.993,15.385
557934,27,2212,43.426,-1,41.379,77.743,51.830,-1,11.122,-1,-1,-1
557984,3,699,31.220,24.324,100.000,21.821,94.753,-1,-1,-1,35.509,33.728
557985,3,3267,24.324,100.000,21.821,94.753,-1,-1,-1,35.509,33.728,-1
557918,19,1241,44.781,-1,-1,-1,-1,7.299,99.498,98.926,99.231,-1
557925,87,1370,6.325,8.654,-1,-1,-1,-1,-1,-1,6.979,5.478
